0.5125,0.8181,0.5656,0.5097,0.4268
0.5277,0.9011,0.5396,0.5117,0.3489
0.4983,0.8706,0.5242,0.4756,0.3919
0.5395,0.8486,0.5641,0.5147,0.3228
0.5747,0.8946,0.5301,0.4401,0.3990
0.5442,0.8424,0.4958,0.4870,0.3595
0.5981,0.9013,0.5223,0.4833,0.3335
0.5867,0.9112,0.5161,0.4588,0.3476
0.6118,0.8408,0.4666,0.3934,0.3010
0.5807,0.8452,0.4563,0.4115,0.3267
0.6042,0.8537,0.4400,0.4264,0.3542
0.6367,0.8483,0.4659,0.3455,0.3340
0.6818,0.8877,0.4344,0.3822,0.3815
0.6733,0.8473,0.3708,0.3399,0.3373
0.6330,0.9073,0.4303,0.3319,0.3815
0.6599,0.8999,0.3761,0.3208,0.3557
0.6850,0.8356,0.3706,0.3725,0.3818
0.6641,0.8954,0.3472,0.2960,0.3640
0.6638,0.8551,0.3559,0.3233,0.3805
0.6977,0.8806,0.3158,0.3717,0.4684
0.6736,0.8475,0.3132,0.3331,0.4320
0.7391,0.7836,0.2750,0.3276,0.5116
0.7689,0.7877,0.2654,0.3064,0.5262
0.7767,0.7806,0.2626,0.3501,0.4766
0.7750,0.7915,0.2605,0.3495,0.4818
0.7433,0.7333,0.2600,0.3888,0.5755
0.7492,0.7249,0.2419,0.4044,0.5271
0.7723,0.7134,0.2185,0.3989,0.5493
0.7781,0.7438,0.1619,0.4206,0.5936
0.7608,0.7294,0.1925,0.3736,0.6006
0.8373,0.7256,0.1559,0.4166,0.5995
0.7737,0.6833,0.1599,0.4065,0.6233
0.7652,0.6951,0.1191,0.4840,0.6946
0.7702,0.6448,0.1512,0.4395,0.6414
0.8527,0.6596,0.1271,0.5094,0.7128
0.7899,0.6014,0.1180,0.4961,0.6912
0.8422,0.6376,0.1635,0.4868,0.6926
0.8106,0.6386,0.0941,0.5154,0.7020
0.8212,0.5701,0.0922,0.6022,0.7049
0.8635,0.5784,0.0734,0.6301,0.7416
0.8755,0.5959,0.1456,0.5763,0.7093
0.8095,0.5323,0.0760,0.6167,0.7514
0.8157,0.5504,0.1143,0.6417,0.7439
0.8827,0.5135,0.1419,0.6384,0.6774
0.8811,0.4994,0.1311,0.7123,0.6467
0.8469,0.4763,0.1653,0.6791,0.7169
0.8016,0.4317,0.1494,0.7450,0.6385
0.8049,0.4793,0.1265,0.7564,0.6581
0.8311,0.4360,0.1610,0.8047,0.6040
0.8568,0.3895,0.1602,0.7978,0.5943
0.8193,0.4205,0.1427,0.7943,0.6373
0.8787,0.3446,0.1680,0.7915,0.6102
0.8662,0.4026,0.1957,0.7950,0.5789
0.8478,0.3644,0.2658,0.8516,0.4811
0.8551,0.3225,0.2520,0.8876,0.4682
0.7888,0.2918,0.2582,0.8366,0.4856
0.8395,0.2877,0.2824,0.8432,0.4498
0.8526,0.3331,0.2512,0.8633,0.4051
0.7672,0.3145,0.3184,0.8528,0.4212
0.8121,0.2722,0.2806,0.8383,0.4084
0.8391,0.2720,0.3741,0.8846,0.3171
0.7642,0.2404,0.3995,0.9027,0.3566
0.8283,0.2220,0.3610,0.8374,0.3256
0.8214,0.2306,0.4146,0.8375,0.3162
0.8138,0.2735,0.4521,0.8966,0.2130
0.7962,0.2078,0.4835,0.8814,0.2682
0.7965,0.1949,0.4912,0.8093,0.2501
0.7943,0.1845,0.5144,0.8297,0.1820
0.7819,0.1792,0.4635,0.7928,0.1687
0.7812,0.2407,0.5068,0.8188,0.1618
0.7845,0.1976,0.5863,0.7557,0.2018
